"","Month.Number","Year","Month","Cotagecheese.Prod","Icecream.Prod","Milk.Prod","N.CA.Fat.Price","Month.Count","Time"
"1",1,1995,"Jan",1.4747630091075,5.81522694546927,7.65539064482615,6.88785864726768,0,1995-01-01
"2",2,1995,"Feb",1.30698055440017,5.89868840391917,7.56631101477246,6.79391446255838,1,1995-02-01
"3",3,1995,"Mar",1.51248638635765,6.09794955528704,7.67878899819915,6.79391446255838,2,1995-03-01
"4",4,1995,"Apr",1.45395300959371,6.05723590174395,7.66387725870347,6.798721357958,3,1995-04-01
"5",5,1995,"May",1.49738840862548,6.17221194890315,7.70841066725737,6.798721357958,4,1995-05-01
"6",6,1995,"Jun",1.44409145984611,6.22843407755553,7.66105638236183,6.82001636467413,5,1995-06-01
"7",7,1995,"Jul",1.47636355820876,6.27209840162522,7.6889133368648,6.82001636467413,6,1995-07-01
"8",8,1995,"Aug",1.4743052384426,6.18903692501026,7.67415292128168,6.79503440891802,7,1995-08-01
"9",9,1995,"Sep",1.36532605468369,5.99132703765399,7.63143166457691,6.79503440891802,8,1995-09-01
"10",10,1995,"Oct",1.40560667215226,5.96651333858456,7.65964295456468,6.84949037085016,9,1995-10-01
"11",11,1995,"Nov",1.28398474229532,5.83778292392312,7.61579107203583,6.84949037085016,10,1995-11-01
"12",12,1995,"Dec",1.27843071524395,5.80068229939616,7.64539769942863,6.98573432029873,11,1995-12-01
"13",1,1996,"Jan",1.30779213296493,5.84428037802967,7.65396918047877,6.98573432029873,12,1996-01-01
"14",2,1996,"Feb",1.23226867348078,5.92294343932303,7.59890045687141,7.00506346144913,13,1996-02-01
"15",3,1996,"Mar",1.31291689131512,6.10487916622257,7.68386398025643,7.00506346144913,14,1996-03-01
"16",4,1996,"Apr",1.30508430569435,6.11561504515722,7.67925142595306,6.95463886488099,15,1996-04-01
"17",5,1996,"May",1.36020702635657,6.22062098473431,7.71110125184016,6.95463886488099,16,1996-05-01
"18",6,1996,"Jun",1.32335456134602,6.33557007588459,7.66949525100769,6.9782137426307,17,1996-06-01
"19",7,1996,"Jul",1.4107430415222,6.29071507124208,7.68799716639302,6.9782137426307,18,1996-07-01
"20",8,1996,"Aug",1.38103053144479,6.24453576466388,7.66340766489348,7.11744878257194,19,1996-08-01
"21",9,1996,"Sep",1.31640823365572,6.10903422667224,7.66762609158499,7.11744878257194,20,1996-09-01
"22",10,1996,"Oct",1.438412315382,6.03933524107517,7.70300768247924,7.22402480828583,21,1996-10-01
"23",11,1996,"Nov",1.48568710499793,5.86776183720229,7.67600993202889,7.22402480828583,22,1996-11-01
"24",12,1996,"Dec",1.20086798937246,5.84756963828098,7.70165236264223,7.24236864611835,23,1996-12-01
"25",1,1997,"Jan",1.3246848794882,5.8893556835392,7.68570306123455,7.24236864611835,24,1997-01-01
"26",2,1997,"Feb",1.22495121071113,5.94869534550994,7.61480536471107,6.90815519900346,25,1997-02-01
"27",3,1997,"Mar",1.26751082512992,6.16042431480323,7.76684053708551,6.90815519900346,26,1997-03-01
"28",4,1997,"Apr",1.24961516220464,6.18882351484846,7.76556908109732,6.90815519900346,27,1997-04-01
"29",5,1997,"May",1.22318702324974,6.19494096194672,7.79028238070348,6.90815519900346,28,1997-05-01
"30",6,1997,"Jun",1.30019166206648,6.31601691639747,7.74673290775362,6.93215516580567,29,1997-06-01
"31",7,1997,"Jul",1.30752167995449,6.29237622118771,7.77737360265786,6.93215516580567,30,1997-07-01
"32",8,1997,"Aug",1.29005875323906,6.19272438717218,7.76895604453833,6.84662427897791,31,1997-08-01
"33",9,1997,"Sep",1.23343451447555,6.12357774707252,7.72223474470961,6.84662427897791,32,1997-09-01
"34",10,1997,"Oct",1.19785412331776,5.98896768253439,7.76259604854007,7.05738145293795,33,1997-10-01
"35",11,1997,"Nov",1.09259421634255,5.85178285151296,7.72444664563354,7.05738145293795,34,1997-11-01
"36",12,1997,"Dec",1.08078770375556,5.88437615063462,7.74196789982069,7.09456674104894,35,1997-12-01
"37",1,1998,"Jan",1.1213517756376,5.80830313773656,7.75833346749091,7.09456674104894,36,1998-01-01
"38",2,1998,"Feb",0.923861997370473,5.98877217592728,7.64060382639363,7.12793444083233,37,1998-02-01
"39",3,1998,"Mar",1.10359983017915,6.16502491989998,7.7596141506969,7.12793444083233,38,1998-03-01
"40",4,1998,"Apr",1.08889859648047,6.15299968033686,7.74673290775362,7.12568526324346,39,1998-04-01
"41",5,1998,"May",1.0564004398588,6.18069344321238,7.79646924308606,7.12568526324346,40,1998-05-01
"42",6,1998,"Jun",1.04837107223136,6.32723028421718,7.74802852443238,6.9892430958284,41,1998-06-01
"43",7,1998,"Jul",1.13075674199468,6.31912485821813,7.7445698093545,6.9892430958284,42,1998-07-01
"44",8,1998,"Aug",1.10094290400639,6.25764651486367,7.72797554210556,7.18599289260592,43,1998-08-01
"45",9,1998,"Sep",1.04485983266886,6.13315723309321,7.68937110752969,7.18599289260592,44,1998-09-01
"46",10,1998,"Oct",1.06780937951306,5.96462892115389,7.76768727718691,7.32751769179113,45,1998-10-01
"47",11,1998,"Nov",1.07534366172876,5.88164131053003,7.7332456465298,7.32751769179113,46,1998-11-01
"48",12,1998,"Dec",0.954356932680611,5.89264371215885,7.77485576666552,7.43926549394096,47,1998-12-01
"49",1,1999,"Jan",0.966223100622364,5.87625850066082,7.79934339821592,7.43926549394096,48,1999-01-01
"50",2,1999,"Feb",0.914689450507181,5.99987160852531,7.71646080017636,7.48003341706109,49,1999-02-01
"51",3,1999,"Mar",1.12914149370293,6.21032092159854,7.86518795418747,7.48003341706109,50,1999-03-01
"52",4,1999,"Apr",1.02997649627797,6.19937262577941,7.85360481309784,7.01112381195917,51,1999-04-01
"53",5,1999,"May",0.993992239538007,6.22290557892196,7.88570539124302,7.01112381195917,52,1999-05-01
"54",6,1999,"Jun",1.03425152950772,6.32631225060381,7.82524529143177,7.02651561470298,53,1999-06-01
"55",7,1999,"Jul",1.04837107223136,6.28991963171983,7.82803803212583,7.02651561470298,54,1999-07-01
"56",8,1999,"Aug",1.10459436034566,6.2867678168186,7.86403565907245,7.07470935864497,55,1999-08-01
"57",9,1999,"Sep",1.04731899428056,6.07007122418296,7.83082299513532,7.07470935864497,56,1999-09-01
"58",10,1999,"Oct",0.990284411782481,5.9589710553746,7.86518795418747,7.4611230170138,57,1999-10-01
"59",11,1999,"Nov",0.890767774643069,5.92299564546771,7.8407064517494,7.4611230170138,58,1999-11-01
"60",12,1999,"Dec",0.859931998204771,5.85329527326271,7.87929148508227,7.06723459352746,59,1999-12-01
"61",1,2000,"Jan",0.945461109173935,5.93676942041302,7.90470391387375,7.01535328958015,60,2000-01-01
"62",2,2000,"Feb",0.879211723632734,5.98103535161744,7.84698098213879,6.82285077189169,61,2000-02-01
"63",3,2000,"Mar",1.05605267424931,6.17775737462418,7.91607809630279,6.81443312175076,62,2000-03-01
"64",4,2000,"Apr",0.900161349944271,6.15748309578879,7.91315518592807,6.95939851213398,63,2000-04-01
"65",5,2000,"May",0.980954245199877,6.21400891895002,7.93630269320196,7.08966008227975,64,2000-05-01
"66",6,2000,"Jun",0.97229292198944,6.31552344895631,7.89095671613892,7.14259021888593,65,2000-06-01
"67",7,2000,"Jul",0.921875110168056,6.279788913245,7.93128476152589,7.30552418045583,66,2000-07-01
"68",8,2000,"Aug",1.01776370080479,6.28655008366182,7.8935720735049,7.19180576519987,67,2000-08-01
"69",9,2000,"Sep",0.944683806375373,6.04677389136084,7.86211221166275,7.16742360497872,68,2000-09-01
"70",10,2000,"Oct",0.98394938034797,6.01295080532149,7.89506349809157,7.1675007327409,69,2000-10-01
"71",11,2000,"Nov",0.926637023928299,5.87448821722698,7.8578675593318,7.14559037903934,70,2000-11-01
"72",12,2000,"Dec",0.84070474491756,5.7246482620875,7.90211754627645,7.31608295270378,71,2000-12-01
"73",1,2001,"Jan",0.919086819176156,5.90460815810709,7.91971976092457,7.60589000105312,72,2001-01-01
"74",2,2001,"Feb",0.930193637043147,6.00435732688744,7.83557924666997,7.15461535691366,73,2001-02-01
"75",3,2001,"Mar",0.921875110168056,6.0950968202146,7.94093976232779,7.2868764117507,74,2001-03-01
"76",4,2001,"Apr",1.00868758114012,6.17601590770729,7.93307977188041,7.42863023860113,75,2001-04-01
"77",5,2001,"May",1.08552704911945,6.25210232204977,7.9672801789422,7.54750168281497,76,2001-05-01
"78",6,2001,"Jun",1.0525683501667,6.32104343625167,7.93128476152589,7.65207074611648,77,2001-06-01
"79",7,2001,"Jul",1.07806938743678,6.33691687743497,7.94307271727793,7.69630354430534,78,2001-07-01
"80",8,2001,"Aug",1.09927873321127,6.22195107267745,7.94342776787637,7.71494517558274,79,2001-08-01
"81",9,2001,"Sep",1.03104696917234,6.09075090234822,7.9035962896143,7.72665366484764,80,2001-09-01
"82",10,2001,"Oct",1.04907184310797,6.00528732086141,7.93880224815448,7.83538152052004,81,2001-10-01
"83",11,2001,"Nov",0.867100487683383,5.80176332746075,7.90765159471109,7.51833573588512,82,2001-11-01
"84",12,2001,"Dec",0.900567771408919,5.84409209311639,7.94058382710424,7.26612877955645,83,2001-12-01
"85",1,2002,"Jan",0.971157633314995,5.97975374252991,7.9550742732627,7.26192709270275,84,2002-01-01
"86",2,2002,"Feb",0.900974027762262,6.03989274101218,7.8808043446749,7.31188616407716,85,2002-02-01
"87",3,2002,"Mar",0.950112280349666,6.17512375052032,8.00536706731666,7.24064969425547,86,2002-03-01
"88",4,2002,"Apr",0.950498903203892,6.22297003973948,7.98888225330923,7.23849684089437,87,2002-04-01
"89",5,2002,"May",1.01450577937111,6.26987438999394,8.03495502450216,7.19218205871325,88,2002-05-01
"90",6,2002,"Jun",0.983201437156782,6.3289826651759,7.99934295271328,7.06081965470897,89,2002-06-01
"91",7,2002,"Jul",1.00722772686626,6.33305580202678,8.00570067866254,7.07259152143507,90,2002-07-01
"92",8,2002,"Aug",1.04309957873785,6.22430988353894,8.00836557031292,7.02438209091386,91,2002-08-01
"93",9,2002,"Sep",1.00063188030791,6.10108547431027,7.94944442025063,7.02411508009833,92,2002-09-01
